epoch,loss,valid_anchor_pct,positive_pairs_per_batch,hard_negative_pairs_per_batch,lr
1,0.3257749663242469,1.0,4578.3209695189125,0.8373117884686008,0.00029917828430524096
2,0.18512743143169835,1.0,4579.244215938304,0.8042600073448403,0.0002967221401100708
3,0.16855914150633183,1.0,4579.910392948954,0.8196841718692618,0.00029265847744427303
4,0.15878989302877813,1.0,4578.571428571428,0.808666911494675,0.0002870318186463901
5,0.1525750559280287,1.0,4577.525523319868,0.824825560044069,0.0002799038105676658
6,0.1467486491910443,1.0,4579.272126331252,0.8475945648182152,0.0002713525491562421
7,0.14250878404225337,1.0,4579.866323907455,0.8365773044436283,0.00026147172382160914
8,0.13872878579132114,1.0,4578.870363569592,0.8791773778920309,0.00025036959095382875
9,0.13424901335164657,1.0,4577.327212633125,0.8307014322438487,0.000238167787843871
10,0.13049090100747127,1.0,4578.345941975762,0.8527359529930224,0.00022500000000000002
11,0.1282560048543472,1.0,4580.611825192802,0.8564083731178846,0.0002110104964613701
12,0.12400039600319901,1.0,4577.2287917737785,0.842453176643408,0.00019635254915624216
13,0.12056141992907095,1.0,4580.9702533969885,0.8483290488431876,0.00018118675362266393
14,0.11674259488549175,1.0,4581.5828130738155,0.8116048475945649,0.0001656792694901481
15,0.11350863080593514,1.0,4578.13881748072,0.8240910760190966,0.0001500000000000001
16,0.11019595054990988,1.0,4581.18912963643,0.8512669849430775,0.00013432073050985205
17,0.10798480261077545,1.0,4579.441057656996,0.8182152038193169,0.00011881324637733612
18,0.1048598258803642,1.0,4578.438486962908,0.8556738890929122,0.00010364745084375793
19,0.1017593515919213,1.0,4579.830334190231,0.8321704002937936,8.898950353863e-05
20,0.09946927824716029,1.0,4581.042967315461,0.8145427836944547,7.500000000000006e-05
21,0.0970489921170043,1.0,4580.133676092545,0.8358428204186559,6.183221215612908e-05
22,0.09457086019041486,1.0,4577.5982372383405,0.8578773411678297,4.963040904617134e-05
23,0.09321176749970483,1.0,4578.0058758722,0.8373117884686008,3.85282761783909e-05
24,0.09090585860598516,1.0,4578.739625413147,0.8453911127432978,2.8647450843757918e-05
25,0.08952793730316828,1.0,4576.556004406904,0.8439221446933529,2.0096189432334208e-05
26,0.08841731839854676,1.0,4577.240543518178,0.8564083731178846,1.2968181353609862e-05
27,0.0875064302817277,1.0,4579.532868160118,0.8402497245684907,7.341522555726975e-06
28,0.08615730268442254,1.0,4581.395519647448,0.8571428571428571,3.277859889929149e-06
29,0.08543989844100357,1.0,4581.004774146162,0.8688946015424165,8.217156947589904e-07
30,0.08635038272653828,1.0,4579.023870730812,0.8351083363936834,0.0
