symbol,feature_rows,hmm_rows,eligible_windows,regimes_present,min_regime_windows,max_regime_windows,dominant_regime_pct,transition_count,transition_rate,avg_regime_duration,directed_hard_negative_pairs,hard_negative_pairs_per_window,positive_gap_hours,hard_negative_gap_hours
ADAUSDT,17460,17436,17377,4,2443,6630,0.38153881567589343,1528,0.08763980498996272,11.403531720078483,340126,19.5733440755021,24,24
APTUSDT,17460,17436,17377,4,984,7436,0.4279219658168844,1789,0.10260969314597075,9.740782122905028,341644,19.660700926512057,24,24
AVAXUSDT,17460,17436,17377,4,1974,6691,0.38504920296944234,1660,0.0952107829079438,10.497290788681518,356834,20.534844909938425,24,24
BCHUSDT,17460,17436,17377,4,1723,6689,0.3849341083040801,1412,0.08098652136507026,12.339702760084926,332778,19.150486274961157,24,24
BNBUSDT,17460,17436,17377,4,570,9594,0.5521091097427634,788,0.045196443934614285,22.098859315589355,231072,13.297577257294124,24,24
BTCUSDT,18647,18623,18564,4,329,12106,0.6521223874165051,771,0.041402642036301146,24.123056994818654,236522,12.740896358543417,24,24
DOGEUSDT,17460,17436,17377,4,2458,6251,0.35972837658974505,1656,0.09498135933467164,10.522631261315631,354390,20.39419922886574,24,24
DOTUSDT,17460,17436,17377,4,2083,7583,0.4363814237210105,1478,0.0847720103240608,11.789046653144016,336114,19.342464176785406,24,24
ETCUSDT,17460,17436,17377,4,1525,7365,0.42383610519652415,1372,0.07869228563234873,12.699198834668609,340948,19.62064798296599,24,24
ETHUSDT,18647,18623,18564,4,1088,7800,0.42016806722689076,1344,0.07217269895822145,13.846096654275092,357390,19.251777634130576,24,24
ICPUSDT,17460,17436,17377,4,1192,6701,0.3856246762962537,1610,0.09234298824204187,10.823091247672254,314264,18.08505495770271,24,24
LINKUSDT,17460,17436,17377,4,2329,6852,0.39431432353110435,1533,0.08792658445655291,11.366362451108214,341342,19.643321632042355,24,24
LTCUSDT,17460,17436,17377,4,1686,6158,0.35437647465039995,1262,0.0723831373673645,13.805225653206652,306528,17.639868792081487,24,24
NEARUSDT,17460,17436,17377,4,770,7767,0.4469701329343385,1815,0.10410094637223975,9.601321585903083,333774,19.20780341831156,24,24
SHIBUSDT,17460,17436,17377,4,1944,7001,0.40288887610059276,1473,0.0844852308574706,11.829036635006783,340672,19.604764919145996,24,24
SOLUSDT,17460,17436,17377,4,1716,7546,0.4342521724118087,1479,0.08482936621737884,11.781081081081082,348844,20.075041721816195,24,24
TONUSDT,16152,16128,16069,4,1518,6176,0.3843425228701226,1159,0.07186705524896136,13.903448275862068,287664,17.901798493994647,24,24
TRXUSDT,17460,17436,17377,4,346,14419,0.8297749899292168,355,0.020361342127903644,48.97752808988764,106218,6.112562582724291,24,24
UNIUSDT,17460,17436,17377,4,1447,6818,0.3923577142199459,1760,0.10094637223974763,9.901192504258944,362458,20.858491108937102,24,24
XRPUSDT,17460,17436,17377,4,1993,5833,0.33567359152903264,1255,0.07198164611413822,13.882165605095542,308894,17.776025781205043,24,24
