fold,train_end,test_start,test_end,n_train_rows,n_test_rows,train_max_feat_idx,test_min_feat_idx,test_max_feat_idx,embargo_required_bars,embargo_observed_bars,primary_label_horizon_bars,train_label_end_feat_idx,label_gap_before_test_bars,row_overlap_count,status
1,4320,4440,5160,8522,1440,4319,4440,5159,120,120,8,4327,113,0,PASS
2,5040,5160,5880,9962,1440,5039,5160,5879,120,120,8,5047,113,0,PASS
3,5760,5880,6600,11402,1440,5759,5880,6599,120,120,8,5767,113,0,PASS
4,6480,6600,7320,12842,1440,6479,6600,7319,120,120,8,6487,113,0,PASS
5,7200,7320,8040,14282,1440,7199,7320,8039,120,120,8,7207,113,0,PASS
6,7920,8040,8760,15722,1440,7919,8040,8759,120,120,8,7927,113,0,PASS
7,8640,8760,9480,17162,1440,8639,8760,9479,120,120,8,8647,113,0,PASS
8,9360,9480,10200,18602,1440,9359,9480,10199,120,120,8,9367,113,0,PASS
9,10080,10200,10920,20042,1440,10079,10200,10919,120,120,8,10087,113,0,PASS
10,10800,10920,11640,21482,1440,10799,10920,11639,120,120,8,10807,113,0,PASS
11,11520,11640,12360,22922,1440,11519,11640,12359,120,120,8,11527,113,0,PASS
12,12240,12360,13080,24362,1440,12239,12360,13079,120,120,8,12247,113,0,PASS
13,12960,13080,13800,25802,1440,12959,13080,13799,120,120,8,12967,113,0,PASS
14,13680,13800,14520,27242,1440,13679,13800,14519,120,120,8,13687,113,0,PASS
15,14400,14520,15240,28682,1440,14399,14520,15239,120,120,8,14407,113,0,PASS
16,15120,15240,15960,30122,1440,15119,15240,15959,120,120,8,15127,113,0,PASS
17,15840,15960,16680,31562,1440,15839,15960,16679,120,120,8,15847,113,0,PASS
18,16560,16680,17400,33002,1440,16559,16680,17399,120,120,8,16567,113,0,PASS
