fold,method,train_rows,test_assignment_rows,test_prediction_rows
1,global_lgbm,42610,7200,7200
1,regime_lgbm_contrastive,42610,7200,7200
1,regime_lgbm_contrastive_hmm,42610,7200,7200
1,regime_lgbm_hmm,42610,7200,7200
1,regime_lgbm_kmeans,42610,7200,7200
1,regime_lgbm_vol_bucket,42610,7200,7200
1,regime_lgbm_hmm_guided_gmm,42610,7200,7200
1,regime_lgbm_hmm_guided_hmm,42610,7200,7200
2,global_lgbm,49810,7200,7200
2,regime_lgbm_contrastive,49810,7200,7200
2,regime_lgbm_contrastive_hmm,49810,7200,7200
2,regime_lgbm_hmm,49810,7200,7200
2,regime_lgbm_kmeans,49810,7200,7200
2,regime_lgbm_vol_bucket,49810,7200,7200
2,regime_lgbm_hmm_guided_gmm,49810,7200,7200
2,regime_lgbm_hmm_guided_hmm,49810,7200,7200
3,global_lgbm,57010,7200,7200
3,regime_lgbm_contrastive,57010,7200,7200
3,regime_lgbm_contrastive_hmm,57010,7200,7200
3,regime_lgbm_hmm,57010,7200,7200
3,regime_lgbm_kmeans,57010,7200,7200
3,regime_lgbm_vol_bucket,57010,7200,7200
3,regime_lgbm_hmm_guided_gmm,57010,7200,7200
3,regime_lgbm_hmm_guided_hmm,57010,7200,7200
4,global_lgbm,64210,7200,7200
4,regime_lgbm_contrastive,64210,7200,7200
4,regime_lgbm_contrastive_hmm,64210,7200,7200
4,regime_lgbm_hmm,64210,7200,7200
4,regime_lgbm_kmeans,64210,7200,7200
4,regime_lgbm_vol_bucket,64210,7200,7200
4,regime_lgbm_hmm_guided_gmm,64210,7200,7200
4,regime_lgbm_hmm_guided_hmm,64210,7200,7200
5,global_lgbm,71410,7200,7200
5,regime_lgbm_contrastive,71410,7200,7200
5,regime_lgbm_contrastive_hmm,71410,7200,7200
5,regime_lgbm_hmm,71410,7200,7200
5,regime_lgbm_kmeans,71410,7200,7200
5,regime_lgbm_vol_bucket,71410,7200,7200
5,regime_lgbm_hmm_guided_gmm,71410,7200,7200
5,regime_lgbm_hmm_guided_hmm,71410,7200,7200
6,global_lgbm,78610,7200,7200
6,regime_lgbm_contrastive,78610,7200,7200
6,regime_lgbm_contrastive_hmm,78610,7200,7200
6,regime_lgbm_hmm,78610,7200,7200
6,regime_lgbm_kmeans,78610,7200,7200
6,regime_lgbm_vol_bucket,78610,7200,7200
6,regime_lgbm_hmm_guided_gmm,78610,7200,7200
6,regime_lgbm_hmm_guided_hmm,78610,7200,7200
7,global_lgbm,85810,7200,7200
7,regime_lgbm_contrastive,85810,7200,7200
7,regime_lgbm_contrastive_hmm,85810,7200,7200
7,regime_lgbm_hmm,85810,7200,7200
7,regime_lgbm_kmeans,85810,7200,7200
7,regime_lgbm_vol_bucket,85810,7200,7200
7,regime_lgbm_hmm_guided_gmm,85810,7200,7200
7,regime_lgbm_hmm_guided_hmm,85810,7200,7200
8,global_lgbm,93010,7200,7200
8,regime_lgbm_contrastive,93010,7200,7200
8,regime_lgbm_contrastive_hmm,93010,7200,7200
8,regime_lgbm_hmm,93010,7200,7200
8,regime_lgbm_kmeans,93010,7200,7200
8,regime_lgbm_vol_bucket,93010,7200,7200
8,regime_lgbm_hmm_guided_gmm,93010,7200,7200
8,regime_lgbm_hmm_guided_hmm,93010,7200,7200
9,global_lgbm,100210,7200,7200
9,regime_lgbm_contrastive,100210,7200,7200
9,regime_lgbm_contrastive_hmm,100210,7200,7200
9,regime_lgbm_hmm,100210,7200,7200
9,regime_lgbm_kmeans,100210,7200,7200
9,regime_lgbm_vol_bucket,100210,7200,7200
9,regime_lgbm_hmm_guided_gmm,100210,7200,7200
9,regime_lgbm_hmm_guided_hmm,100210,7200,7200
10,global_lgbm,107410,7200,7200
10,regime_lgbm_contrastive,107410,7200,7200
10,regime_lgbm_contrastive_hmm,107410,7200,7200
10,regime_lgbm_hmm,107410,7200,7200
10,regime_lgbm_kmeans,107410,7200,7200
10,regime_lgbm_vol_bucket,107410,7200,7200
10,regime_lgbm_hmm_guided_gmm,107410,7200,7200
10,regime_lgbm_hmm_guided_hmm,107410,7200,7200
11,global_lgbm,114610,7200,7200
11,regime_lgbm_contrastive,114610,7200,7200
11,regime_lgbm_contrastive_hmm,114610,7200,7200
11,regime_lgbm_hmm,114610,7200,7200
11,regime_lgbm_kmeans,114610,7200,7200
11,regime_lgbm_vol_bucket,114610,7200,7200
11,regime_lgbm_hmm_guided_gmm,114610,7200,7200
11,regime_lgbm_hmm_guided_hmm,114610,7200,7200
12,global_lgbm,121810,7200,7200
12,regime_lgbm_contrastive,121810,7200,7200
12,regime_lgbm_contrastive_hmm,121810,7200,7200
12,regime_lgbm_hmm,121810,7200,7200
12,regime_lgbm_kmeans,121810,7200,7200
12,regime_lgbm_vol_bucket,121810,7200,7200
12,regime_lgbm_hmm_guided_gmm,121810,7200,7200
12,regime_lgbm_hmm_guided_hmm,121810,7200,7200
13,global_lgbm,129010,7200,7200
13,regime_lgbm_contrastive,129010,7200,7200
13,regime_lgbm_contrastive_hmm,129010,7200,7200
13,regime_lgbm_hmm,129010,7200,7200
13,regime_lgbm_kmeans,129010,7200,7200
13,regime_lgbm_vol_bucket,129010,7200,7200
13,regime_lgbm_hmm_guided_gmm,129010,7200,7200
13,regime_lgbm_hmm_guided_hmm,129010,7200,7200
14,global_lgbm,136210,7200,7200
14,regime_lgbm_contrastive,136210,7200,7200
14,regime_lgbm_contrastive_hmm,136210,7200,7200
14,regime_lgbm_hmm,136210,7200,7200
14,regime_lgbm_kmeans,136210,7200,7200
14,regime_lgbm_vol_bucket,136210,7200,7200
14,regime_lgbm_hmm_guided_gmm,136210,7200,7200
14,regime_lgbm_hmm_guided_hmm,136210,7200,7200
15,global_lgbm,143410,7200,7200
15,regime_lgbm_contrastive,143410,7200,7200
15,regime_lgbm_contrastive_hmm,143410,7200,7200
15,regime_lgbm_hmm,143410,7200,7200
15,regime_lgbm_kmeans,143410,7200,7200
15,regime_lgbm_vol_bucket,143410,7200,7200
15,regime_lgbm_hmm_guided_gmm,143410,7200,7200
15,regime_lgbm_hmm_guided_hmm,143410,7200,7200
16,global_lgbm,150610,7200,7200
16,regime_lgbm_contrastive,150610,7200,7200
16,regime_lgbm_contrastive_hmm,150610,7200,7200
16,regime_lgbm_hmm,150610,7200,7200
16,regime_lgbm_kmeans,150610,7200,7200
16,regime_lgbm_vol_bucket,150610,7200,7200
16,regime_lgbm_hmm_guided_gmm,150610,7200,7200
16,regime_lgbm_hmm_guided_hmm,150610,7200,7200
17,global_lgbm,157810,7200,7200
17,regime_lgbm_contrastive,157810,7200,7200
17,regime_lgbm_contrastive_hmm,157810,7200,7200
17,regime_lgbm_hmm,157810,7200,7200
17,regime_lgbm_kmeans,157810,7200,7200
17,regime_lgbm_vol_bucket,157810,7200,7200
17,regime_lgbm_hmm_guided_gmm,157810,7200,7200
17,regime_lgbm_hmm_guided_hmm,157810,7200,7200
18,global_lgbm,165010,7200,7200
18,regime_lgbm_contrastive,165010,7200,7200
18,regime_lgbm_contrastive_hmm,165010,7200,7200
18,regime_lgbm_hmm,165010,7200,7200
18,regime_lgbm_kmeans,165010,7200,7200
18,regime_lgbm_vol_bucket,165010,7200,7200
18,regime_lgbm_hmm_guided_gmm,165010,7200,7200
18,regime_lgbm_hmm_guided_hmm,165010,7200,7200
