method,symbol_scope,n_rows,n_regimes,switch_count,switches_per_1000_bars,avg_regime_duration,median_regime_duration,p90_regime_duration,transition_diagonal_probability,transition_entropy,regime_balance_entropy,mean_confidence,mean_posterior_entropy,low_confidence_pct,stable_oos_rows,transition_oos_rows,stable_ic,transition_ic,ic_stable_minus_transition
contrastive,ALL,34754,4,1137,32.71754143646409,30.512730465320455,18.0,73.0,0.9672824585635359,0.12246470752255414,0.9987516342093685,0.9394114780787118,0.10797013905121586,0.03921850722219025,24343.0,1577.0,-0.020035462927888967,0.04815545300570396,-0.06819091593359293
contrastive,BTCUSDT,17377,4,653,37.58057090239411,26.57033639143731,18.0,67.0,0.9624194290976059,0.12891726256786398,0.6380133570322674,0.9353725607204691,0.11402684504952432,0.04258502618403637,12065.0,895.0,-0.01672832794081129,0.0904286912760701,-0.1071570192168814
contrastive,ETHUSDT,17377,4,484,27.854511970534073,35.82886597938144,18.0,87.0,0.9721454880294659,0.10194781464916833,0.6395020384419721,0.9434503954369544,0.10191343305290738,0.035851988260344136,12278.0,682.0,-0.02404089007629128,0.003650463529954288,-0.02769135360624557
hmm,ALL,34754,4,4978,143.24355432780848,6.978714859437751,4.0,16.0,0.8567564456721916,0.31047660857412246,0.9588841340850156,1.0,0.0,0.0,19454.0,6466.0,0.009755036372341486,0.0019889536297646765,0.00776608274257681
hmm,BTCUSDT,17377,4,2160,124.30939226519337,8.04118463674225,4.0,18.0,0.8756906077348067,0.27997125789136995,0.8815283676154627,1.0,0.0,0.0,10174.0,2786.0,8.281339923662031e-05,-0.016020595694817077,0.016103409094053698
hmm,ETHUSDT,17377,4,2818,162.17771639042357,6.164242639233771,3.0,14.0,0.8378222836095764,0.337679516068552,0.9524009688544525,1.0,0.0,0.0,9280.0,3680.0,0.016962873841604772,0.011614022973307403,0.0053488508682973685
kmeans,ALL,34754,4,8570,246.60451197053408,4.0543630424638355,2.0,10.0,0.7533954880294659,0.5362761736276443,0.8655062089852051,1.0,0.0,0.0,15785.0,10135.0,0.00828796035367711,-0.013690151914860334,0.021978112268537443
kmeans,BTCUSDT,17377,4,3778,217.42633517495398,4.598306430272559,2.0,12.0,0.7825736648250461,0.47383334033468394,0.7682791534319501,1.0,0.0,0.0,8510.0,4450.0,-0.003083166257545292,-0.02109196549527194,0.018008799237726646
kmeans,ETHUSDT,17377,4,4792,275.7826887661142,3.6254955142916754,2.0,9.0,0.7242173112338858,0.5899456734483302,0.9297828382561591,1.0,0.0,0.0,7275.0,5685.0,0.01634952808018349,-0.01015756089296569,0.02650708897314918
vol_bucket,ALL,34754,4,3326,95.70672191528546,10.442908653846153,6.0,22.300000000000182,0.9042932780847146,0.2693807146707162,0.9999974319221355,1.0,0.0,0.0,21396.0,4524.0,9.667258404545267e-05,-0.016759910816680795,0.01685658340072625
vol_bucket,BTCUSDT,17377,4,1575,90.64226519337016,11.026015228426395,6.0,23.5,0.9093577348066298,0.2577484763662867,0.9999972038021826,1.0,0.0,0.0,10847.0,2113.0,-0.007288495358983304,-0.035184158409096083,0.02789566305011278
vol_bucket,ETHUSDT,17377,4,1751,100.77117863720073,9.91837899543379,5.0,21.0,0.8992288213627992,0.2803683924625484,0.9999968238273081,1.0,0.0,0.0,10549.0,2411.0,0.00560612482384332,-0.005991651115270128,0.011597775939113448
